Підгаєцького вулиця	вулиця Підгаєцького
Підколодного вулиця	вулиця Підколодного
Підлисецького вулиця	вулиця Підлисецького
Пісецького вулиця	вулиця Пісецького
Піщаного вулиця	вулиця Піщаного
Плотного вулиця	вулиця Плотного
Погорецького вулиця	вулиця Погорецького
Пожарского вулиця	вулиця Пожарского
Поповицького вулиця	вулиця Поповицького
Попового Яру вулиця	вулиця Попового Яру
Портицького вулиця	вулиця Портицького
Посмітного вулиця	вулиця Посмітного
Постного вулиця	вулиця Постного
Потужнього вулиця	вулиця Потужнього
Приблудного вулиця	вулиця Приблудного
Пригорницького вулиця	вулиця Пригорницького
Придворного вулиця	вулиця Придворного
Просужого вулиця	вулиця Просужого
Протятого Каміння вулиця	вулиця Протятого Каміння
Професора І. Храпливого вулиця	вулиця Професора І. Храпливого
Професора Коровицького вулиця	вулиця Професора Коровицького
Професора Коровицького провулок	провулок Професора Коровицького
Ремінного вулиця	вулиця Ремінного
Робочого вулиця	вулиця Робочого
Розкидного вулиця	вулиця Розкидного
Рокицького вулиця	вулиця Рокицького
Рослого вулиця	вулиця Рослого
Садовского вулиця	вулиця Садовского
Сацького вулиця	вулиця Сацького
Свислоцького вулиця	вулиця Свислоцького
Свідницького вулиця	вулиця Свідницького
Світлого Путі вулиця	вулиця Світлого Путі
Святого Капістрана вулиця	вулиця Святого Капістрана
Святого Юра вулиця	вулиця Святого Юра
Святого Юра площа	площа Святого Юра
Сєдого провулок	провулок Сєдого
Сімнадцятого партз’їзду вулиця	вулиця XVII Партзʼїзду
Сімнадцятого Партз’їзду провулок	провулок XVII Партзʼїзду
Січневого повстання вулиця	вулиця Січневого Повстання
Січневого Повстання вулиця	вулиця Січневого Повстання
Січневого Прориву вулиця	вулиця Січневого Прориву
Скопецького вулиця	вулиця Скопецького
Скорого вулиця	вулиця Скорого
Скуцького вулиця	вулиця Скуцького
Слизькоухого вулиця	вулиця Слизькоухого
Смирного вулиця	вулиця Смирного
Сненького вулиця	вулиця Сненького
Соколового Каміння вулиця	вулиця Соколового Каміння
Солом'яного провулок	провулок Соломʼяного
Сорокового вулиця	вулиця Сорокового
Соціалістичного Донбасу вулиця	вулиця Соціалістичного Донбасу
Спицького вулиця	вулиця Спицького
Справедливого вулиця	вулиця Справедливого
Старого Детюка вулиця	вулиця Старого Детюка
Старого Дніпра вулиця	вулиця Старого Дніпра
Старого Редуту вулиця	вулиця Старого Редуту
Старшого лейтенанта Кагала вулиця	вулиця Старшого лейтенанта Кагала
Старшого сержанта Кульбашного провулок	провулок Старшого сержанта Кульбашного
Стебницького вулиця	вулиця Стебницького
Стебніцького вулиця	вулиця Стебніцького
Стобецького вулиця	вулиця Стобецького
Ступницького вулиця	вулиця Ступницького
Суворого вулиця	вулиця Суворого
Суворого провулок	провулок Суворого
Сухацького вулиця	вулиця Сухацького
Тіводора Легоцького вулиця	вулиця Тіводора Легоцького
Толстрого вулиця	вулиця Толстрого
Тостого вулиця	вулиця Толстого
Трембицького вулиця	вулиця Трембицького
Уграіцкого вулиця	вулиця Уграіцкого
Уграіцкого провулок	провулок Уграіцкого
Указного вулиця	вулиця Указного
Урицкого вулиця	вулиця Урицкого
Уріцького провулок	провулок Уріцького
Хижного вулиця	вулиця Хижного
Хороброго вулиця	вулиця Хороброго
Хотовицького вулиця	вулиця Хотовицького
Храпливого вулиця	вулиця Храпливого
Цегельного Заводу вулиця	вулиця Цегельного Заводу
Червого партизана вулиця	вулиця Червого Партизана
Чернишевского вулиця	вулиця Чернишевского
Четвертного вулиця	вулиця Четвертного
Четвертного провулок	провулок Четвертного
Четвертого Універсалу провулок	провулок Четвертого Універсалу
Чорнобривого вулиця	вулиця Чорнобривого
Чорнобрового вулиця	вулиця Чорнобрового
Чубинского вулиця	вулиця Чубинского
Чумовицкого вулиця	вулиця Чумовицкого
Чумовицького вулиця	вулиця Чумовицького
Шатного вулиця	вулиця Шатного
Шелкового вулиця	вулиця Шелкового
Шептицікого вулиця	вулиця Шептицікого
Шостацького вулиця	вулиця Шостацького
Шостацького провулок	провулок Шостацького
Щирого вулиця	вулиця Щирого
Юного Ленінця вулиця	вулиця Юного Ленінця
Яковицького вулиця	вулиця Яковицького
Ярицького вулиця	вулиця Ярицького
Яруцького вулиця	вулиця Яруцького
XIX Партійного З'їзду вулиця	вулиця XIX Партійного Зʼїзду
XXI Партійного З'їзду вулиця	вулиця XXI Партійного Зʼїзду
