1-го Травня площа	площа 1 Травня
Миколи Леонтовича площа	площа Миколи Леонтовича
Миру площа	площа Миру
Митна площа	Митна площа
Михайла Загороднього площа	площа Михайла Загороднього
Михайла Співака площа	площа Михайла Співака
Михайлівська площа	Михайлівська площа
Міклоша Зелеі площа	площа Міклоша Зелеі
Мінська площа	Мінська площа
Міський ринок	Міський ринок
Мічуріна площа	площа Мічуріна
Молодіжна площа	Молодіжна площа
Молодої Гвардії площа	площа Молодої Гвардії
Набережна площа	Набережна площа
Наводницька площа	Наводницька площа
Навсі площа	площа Навсі
Народна площа	Народна площа
Національної Гвардії майдан	майдан Національної Гвардії
Незалежності майдан	майдан Незалежності
Незалежності площа	площа Незалежності
Оболонська площа	Оболонська площа
Одеська площа	Одеська площа
ОУН-УПА майдан	майдан ОУН-УПА
Очаківська площа	Очаківська площа
П'ятачок Демократії	Пʼятачок Демократії
П’ять кутів площа	площа Пʼять Кутів
Павла Дубинди площа	площа Павла Дубинди
Павленківська площа	Павленківська площа
Пам’яті площа	площа Памʼяті
Пантелеймона Куліша площа	площа Пантелеймона Куліша
Паркова площа	Паркова площа
Паширова площа	площа Паширова
Перемоги майдан	майдан Перемоги
Перемоги площа	площа Перемоги
Петра Кривоноса площа	площа Петра Кривоноса
Петропавлівська площа	Петропавлівська площа
Печерська площа	Печерська площа
площа Андрія Бачинського	площа Андрія Бачинського
Площа бажання	площа Бажання
площа Богдана Хмельницького	площа Богдана Хмельницького
площа Василя Ґренджі-Донського	площа Василя Ґренджі-Донського
площа Віталія Постолакі	площа Віталія Постолакі
Площа Волоха	площа Волоха
площа Г. Пашкевич	площа Г. Пашкевич
площа Гаврила Глюка	площа Гаврила Глюка
Площа Героїв Євромайдану	площа Героїв Євромайдану
площа Героїв Майдану	площа Героїв Майдану
Площа героїв парку перемоги	Площа Героїв Парку Перемоги
площа Григорія Кірпи	площа Григорія Кірпи
площа Гусєва	площа Гусєва
площа Дружби Народів	площа Дружби Народів
площа Едмунта Егана	площа Едмунта Егана
площа Енді Воргола	площа Енді Воргола
площа Євгена Томенчука	площа Євгена Томенчука
площа Євгена Фенцика	площа Євгена Фенцика
Площа знань	площа Знань
Площа знань НТУУ «КПІ»	площа Знань
Площа ім. Поляка	площа імені Поляка
площа Карла Маркса	площа Карла Маркса
площа Карпатської України	площа Карпатської України
площа Кирила і Мефодія	площа Кирила і Мефодія
площа Князя Лаборця	площа Князя Лаборця
площа Кооперативна	Кооперативна площа
площа Корятовича	площа Корятовича
площа Кошута	площа Кошута
площа Культури	площа Культури
площа Лебедєва-Кумача	площа Лебедєва-Кумача
площа Маяковського	площа Маяковського
площа Миру	площа Миру
Площа Миру	площа Миру
площа Незалежності	площа Незалежності
площа Олександра Духновича	площа Олександра Духновича
площа Олександра Пушкіна	площа Олександра Пушкіна
площа Паланок	площа Паланок
площа Памʼяті	площа Памʼяті
площа Перемоги	площа Перемоги
Площа Перемоги	площа Перемоги
площа Ракоці	площа Ракоці
площа Свободи	площа Свободи
площа Святого Йоана Павла ІІ	площа Святого Йоана Павла II
Площа Соборності	площа Соборності
площа Тараса Шевченка	площа Тараса Шевченка
площа Шандора Петефі	площа Шандора Петефі
площа Шахтарів	площа Шахтарів
Площа Шевченка	площа Шевченка
площа Ювілейна	Ювілейна площа
Покровська площа	Покровська площа
Польовий майдан	Польовий майдан
Польський Ринок площа	площа Польський Ринок
Портова площа	Портова площа
Посохівська площа	Посохівська площа
Поштова площа	Поштова площа
Правобережна площа	Правобережна площа
Привокзальна площа	Привокзальна площа
Привокзальний майдан	Привокзальний майдан
Приморська площа	Приморська площа
Профспілок площа	площа Профспілок
Путятинський майдан	Путятинський майдан
Пушкіна площа	площа Пушкіна
Радянська площа	Радянська площа
Революції площа	площа Революції
Рибна площа	Рибна площа
Ринок майдан	майдан Ринок
Ринок площа	площа Ринок
Різдвяна площа	Різдвяна площа
Романа Шухевича площа	площа Романа Шухевича
Руднянський майдан	Руднянський майдан
Сантьяго-де-Чилі площа	площа Сантьяго-де-Чилі
Свободи площа	площа Свободи
Святошинська площа	Святошинська площа
Севастопольська площа	Севастопольська площа
Северина Наливайка площа	площа Северина Наливайка
Семейка площа	площа Семейка
Сергія Набоки площа	площа Сергія Набоки
Сінна площа	Сінна площа
Січових Стрільців площа	площа Січових Стрільців
Сквер Перемоги	сквер Перемоги
Сквер Прокатників	сквер Прокатників
Сквер слави	сквер Слави
Слави площа	площа Слави
Смолянський майдан	Смолянський майдан
Соборна площа	Соборна площа
Соборний майдан	Соборний майдан
Соборно-Миколаївська площа	Соборно-Миколаївська площа
Соборності площа	площа Соборності
Спортивна площа	Спортивна площа
Стадіонна площа	Стадіонна площа
Станишівський майдан	Станишівський майдан
Станіслава Лема площа	площа Станіслава Лема
Старовокзальна площа	Старовокзальна площа
Степана Бандери майдан	майдан Степана Бандери
Стефана Яворського площа	площа Стефана Яворського
Т. Г. Шевченка площа	площа Т. Г. Шевченка
Т.Г.Шевченка площа	площа Т.Г. Шевченка
Таїрова площа	Таїрова площа
Тараса Григоровича Шевченка площа	площа Тараса Григоровича Шевченка
Тараса Шевченка площа	площа Тараса Шевченка
Театральна площа	Театральна площа
Театральний майдан	Театральний майдан
Ткаченко площа	площа Ткаченко
Товарна площа	Товарна площа
Толбухіна площа	площа Толбухіна
Томаша Есе площа	площа Томаша Есе
Торгова площа	Торгова площа
Транспорта площа	Транспорта площа
Троїцька площа	Троїцька площа
Уланська площа	Уланська площа
Успенська площа	Успенська площа
Ференца Ракоці площа	площа Ференца Ракоці
Ференца Ракоці Ⅱ площа	плоащ Ференца Ракоці II
Фестивальна площа	Фестивальна площа
Холмська площа	Холмська площа
Холодноярський майдан	Холодноярський майдан
Центральна площа	Центральна площа
Центральна площа Крижополя	Центральна площа Крижополя
Центральна площа смт.Підволочиськ	Центральна площа
Центральний майдан	Центральний майдан
Червона площа	Червона площа
Червоний майдан	Червоний майдан
Чернігівська площа	Чернігівська площа
Чорнобаївська площа	Чорнобаївська площа
Шахтарська площа	Шахтарська площа
Шахтарської слави площа	площа Шахтарської Cлави
Шевченка майдан	майдан Шевченка
Шевченка площа	площа Шевченка
Шептицького майдан	майдан Шептицького
Шишманівська площа	Шишманівська площа
Шуберта площа	площа Шуберта
Щекавицька площа	Щекавицька площа
Яловиковська площа	Яловиковська площа
Ярмаркова площа	Ярмаркова площа
