Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Ніни Мороз вулиця                                                  	вулиця Ніни Мороз
ПРЗ вулиця                                                         	вулиця ПРЗ
ХТЗ провулок                                                       	провулок ХТЗ
Івана Чорнобаби вулиця                                             	вулиця Івана Чорнобаби
Дружби площа                                                       	площа Дружби
Дружби проїзд                                                      	проїзд Дружби
1-й Дружби тупик                                                   	1-й тупик Дружби
2-й Дружби тупик                                                   	2-й тупик Дружби
Дружби провулок                                                    	провулок Дружби
1-й Дружби провулок                                                	1-й провулок Дружби
ІІ Дружби провулок                                                 	2-й провулок Дружби
2-й Дружби провулок                                                	2-й провулок Дружби
3-й Дружби провулок                                                	3-й провулок Дружби
Дружби вулиця                                                      	вулиця Дружби
Скиби вулиця                                                       	вулиця Скиби
Патріса Лумумби провулок                                           	провулок Патріса Лумумби
Патріса Лумумби вулиця                                             	вулиця Патріса Лумумби
Анатолія Кукоби вулиця                                             	вулиця Анатолія Кукоби
Друби вулиця                                                       	вулиця Друби
Кашуби вулиця                                                      	вулиця Кашуби
Тараса Бульби вулиця                                               	вулиця Тараса Бульби
Івана Дзюби вулиця                                                 	вулиця Івана Дзюби
Дзюби вулиця                                                       	вулиця Дзюби
Слави площа                                                        	площа Слави
Слави алея                                                         	алея Слави
Слави вулиця                                                       	вулиця Слави
1100-річчя Полтави вулиця                                          	вулиця 1100-річчя Полтави
Івана Підкови провулок                                             	провулок Івана Підкови
Діброви вулиця                                                     	вулиця Діброви
Чигирин-Діброви вулиця                                             	вулиця Чигирин-Діброви
Олени Теліги провулок                                              	провулок Олени Теліги
Олени Теліги вулиця                                                	вулиця Олени Теліги
Перемоги площа                                                     	площа Перемоги
40 років Перемоги площа                                            	площа 40 років Перемоги
40 років Перемоги вулиця                                           	вулиця 40 років Перемоги
Перемоги провулок                                                  	провулок Перемоги
Перемоги вулиця                                                    	вулиця Перемоги
30-річчя Перемоги вулиця                                           	вулиця 30-річчя Перемоги
40-річчя Перемоги площа                                            	площа 40-річчя Перемоги
вулиця 40 річчя Перемоги                                           	вулиця 40-річчя Перемоги
40 річчя Перемоги вулиця                                           	вулиця 40-річчя Перемоги
40-річчя Перемоги вулиця                                           	вулиця 40-річчя Перемоги
40-рріччя Перемоги вулиця                                          	вулиця 40-річчя Перемоги
40-річчя Перемоги вулиця;40richchia Peremohy Street                	вулиця 40-річчя Перемоги
50-річчя Перемоги вулиця                                           	вулиця 50-річчя Перемоги
Княгині Ольги вулиця                                               	вулиця Княгині Ольги
В. Шульги вулиця                                                   	вулиця В. Шульги
Рудяги провулок                                                    	провулок Рудяги
Рудяги вулиця                                                      	вулиця Рудяги
Правди провулок                                                    	провулок Правди
Правди вулиця                                                      	вулиця Правди
Капітана Мехеди провулок                                           	провулок Капітана Мехеди
Івана Нагнибіди вулиця                                             	вулиця Івана Нагнибіди
Нагнибіди вулиця                                                   	вулиця Нагнибіди
Легейди вулиця                                                     	вулиця Легейди
Свободи провулок                                                   	провулок Свободи
Свободи проспект                                                   	проспект Свободи
Свободи вулиця                                                     	вулиця Свободи
Лагоди вулиця                                                      	вулиця Лагоди
Злагоди вулиця                                                     	вулиця Злагоди
Анатолія Безроди провулок                                          	провулок Анатолія Безроди
Анатолія Безроди вулиця                                            	вулиця Анатолія Безроди
Г.Сковороди вулиця                                                 	вулиця Г. Сковороди
Сковороди провулок                                                 	провулок Сковороди
1-й Сковороди провулок                                             	1-й провулок Сковороди
2-й Сковороди провулок                                             	2-й провулок Сковороди
3-й Сковороди провулок                                             	3-й провулок Сковороди
4-й Сковороди провулок                                             	4-й провулок Сковороди
Григорія Сковороди провулок                                        	провулок Григорія Сковороди
Григорія Сковороди вулиця                                          	вулиця Григорія Сковороди
Сковороди Григорія вулиця                                          	вулиця Григорія Сковороди
Сковороди вулиця                                                   	вулиця Сковороди
Чупаки вулиця                                                      	вулиця Чупаки
вулиця рибки                                                       	вулиця Рибки
Рибки вулиця                                                       	вулиця Рибки
Марусі Богуславки проїзд                                           	проїзд Марусі Богуславки
Половки вулиця                                                     	вулиця Половки
Половки вулиця;Polovky Street                                      	вулиця Половки
вулиця і. ф. литовки                                               	вулиця І. Ф. Литовки
Василя Дейнеки вулиця                                              	вулиця Василя Дейнеки
Лізки вулиця                                                       	вулиця Лізки
Лубенської Республіки вулиця                                       	вулиця Лубенської Республіки
Генерала Чайки вулиця                                              	вулиця Генерала Чайки
Олександра Чайки вулиця                                            	вулиця Олександра Чайки
Дніпрової Чайки вулиця                                             	вулиця Дніпрової Чайки
Дніпровської Чайки вулиця                                          	вулиця Дніпровської Чайки
Чайки вулиця                                                       	вулиця Чайки
Кучійки вулиця                                                     	вулиця Кучійки
Лева Падалки вулиця                                                	вулиця Лева Падалки
Мате Залки провулок                                                	провулок Мате Залки
Мате Залки вулиця                                                  	вулиця Мате Залки
Олени Пчілки вулиця                                                	вулиця Олени Пчілки
Пчілки вулиця                                                      	вулиця Пчілки
Григорія Чупринки вулиця                                           	вулиця Григорія Чупринки
Евгена Гребінки провулок                                           	провулок Євгена Гребінки
Евгена Гребінки вулиця                                             	вулиця Євгена Гребінки
Євгена Гребінки провулок                                           	провулок Євгена Гребінки
Євгена Гребінки вулиця                                             	вулиця Євгена Гребінки
Глінки провулок                                                    	провулок Глінки
Глінки вулиця                                                      	вулиця Глінки
Л.Українки провулок                                                	провулок Л. Українки
Л.Українки вулиця                                                  	вулиця Л. Українки
провулок Леси Украинки                                             	провулок Лесі Українки
Лесі Українки провулок                                             	провулок Лесі Українки
Лесі Українки проспект                                             	проспект Лесі Українки
Лесі Українки вулиця                                               	вулиця Лесі Українки
Лесі УКраїнки вулиця                                               	вулиця Лесі Українки
Григорія Граб'янки вулиця                                          	вулиця Григорія Грабʼянки
Григорія Граб’янки вулиця                                          	вулиця Григорія Грабʼянки
Коки провулок                                                      	провулок Коки
Коки вулиця                                                        	вулиця Коки
Богдана Ступки провулок                                            	провулок Богдана Ступки
Василя Барки вулиця                                                	вулиця Василя Барки
Героїв Охтирки провулок                                            	провулок Героїв Охтирки
Піски вулиця                                                       	вулиця Піски
П'ятихатки вулиця                                                  	вулиця Пʼятихатки
Дмитра Квитки провулок                                             	провулок Дмитра Квитки
Климента Квітки вулиця                                             	вулиця Климента Квітки
Кутки вулиця                                                       	вулиця Кутки
Куприяна Тутки вулиця                                              	вулиця Куприяна Тутки
Злуки вулиця                                                       	вулиця Злуки
П’ятирічки вулиця                                                  	вулиця Пʼятирічки
Черемушки вулиця                                                   	вулиця Черемушки
Олександра Ковіньки вулиця                                         	вулиця Олександра Ковіньки
Суконьки вулиця                                                    	вулиця Суконьки
Федоряки вулиця                                                    	вулиця Федоряки
Гоголя Миколи вулиця                                               	вулиця Миколи Гоголя
Германа Шахли вулиця                                               	вулиця Германа Шахли
Герман Шахли провулок                                              	провулок Герман Шахли
Івана Прийми провулок                                              	провулок Івана Прийми
Червоні Казарми вулиця                                             	вулиця Червоні Казарми
Миколи Кучми вулиця                                                	вулиця Миколи Кучми
Роксолани вулиця                                                   	вулиця Роксолани
Чураївни провулок                                                  	провулок Чураївни
Чураївни вулиця                                                    	вулиця Чураївни
Єлени вулиця                                                       	вулиця Єлени
Д. Федорини вулиця                                                 	вулиця Д. Федорини
Сухини вулиця                                                      	вулиця Сухини
Павла Тичини вулиця                                                	вулиця Павла Тичини
Тичини провулок                                                    	провулок Тичини
Тичини вулиця                                                      	вулиця Тичини
Захисників України провулок                                        	провулок Захисників України
Алея пам’яті полеглих захисників України                           	алея Памʼяті Полеглих Захисників України
Захисників України вулиця                                          	вулиця Захисників України
Захисникiв України вулиця                                          	вулиця Захисників України
Патріотів України вулиця                                           	вулиця Патріотів України
Героїв України провулок                                            	провулок Героїв України
Героїв України вулиця                                              	вулиця Героїв України
10-річчя Конституції України вулиця                                	вулиця 10-річчя Конституції України
Радянської України вулиця                                          	вулиця Радянської України
Вільної України вулиця                                             	вулиця Вільної України
Єднання України вулиця                                             	вулиця Єднання України
Паризької Комуни провулок                                          	провулок Паризької Комуни
Паризької комуни вулиця                                            	вулиця Паризької Комуни
Паризької Комуни вулиця                                            	вулиця Паризької Комуни
Парижської Комуни вулиця                                           	вулиця Паризької Комуни
Гетьмана Івана Мазепи вулиця                                       	вулиця Гетьмана Івана Мазепи
Івана Мазепи вулиця                                                	вулиця Івана Мазепи
Мазепи вулиця                                                      	вулиця Мазепи
Івана Липи провулок                                                	провулок Івана Липи
Ради Європи вулиця                                                 	вулиця Ради Європи
Георгія Кирпи вулиця                                               	вулиця Георгія Кирпи
Георгія Кірпи вулиця                                               	вулиця Георгія Кірпи
Цюрупи вулиця                                                      	вулиця Цюрупи
Івана Торубари провулок                                            	провулок Івана Торубари
Доктора Дімари вулиця                                              	вулиця Доктора Дімари
Івана Хмари вулиця                                                 	вулиця Івана Хмари
Степана Бандери провулок                                           	провулок Степана Бандери
Петра Вершигори вулиця                                             	вулиця Петра Вершигори
Аврори проїзд                                                      	проїзд Аврори
Аврори провулок                                                    	провулок Аврори
Аврори вулиця                                                      	вулиця Аврори
Миколи Вашури вулиця                                               	вулиця Миколи Вашури
Симона Петлюри провулок                                            	провулок Симона Петлюри
Симона Петлюри вулиця                                              	вулиця Симона Петлюри
Володимира Сосюри провулок                                         	провулок Володимира Сосюри
Сосюри провулок                                                    	провулок Сосюри
Сосюри вулиця                                                      	вулиця Сосюри
Олега Кукси вулиця                                                 	вулиця Олега Кукси
Лікаря Парнети вулиця                                              	вулиця Лікаря Парнети
Просвіти провулок                                                  	провулок Просвіти
Івана Гонти вулиця                                                 	вулиця Івана Гонти
Васюти вулиця                                                      	вулиця Васюти
Грицюти вулиця                                                     	вулиця Грицюти
Сергія Білохи вулиця                                               	вулиця Сергія Білохи
Білохи вулиця                                                      	вулиця Білохи
Василя Бархи вулиця                                                	вулиця Василя Бархи
40-річчя ДАІ проїзд                                                	проїзд 40-річчя ДАІ
Захисників Азовсталі проїзд                                        	проїзд Захисників Азовсталі
Богдана Гавелі вулиця                                              	вулиця Богдана Гавелі
Шота Руставеллі вулиця                                             	вулиця Шота Руставелі
Давида Гурамішвілі провулок                                        	провулок Давида Гурамішвілі
Давида Гурамішвілі вулиця                                          	вулиця Давида Гурамішвілі
Гурамішвілі провулок                                               	провулок Гурамішвілі
Гурамішвілі вулиця                                                 	вулиця Гурамішвілі
Гогорішвілі Шота вулиця                                            	вулиця Шота Гогорішвілі
Миколи Татарулі вулиця                                             	вулиця Миколи Татарулі
Олега Довбні вулиця                                                	вулиця Олега Довбні
1-ї Лікарні проїзд                                                 	проїзд 1-ї Лікарні
3-ї Лікарні проїзд                                                 	проїзд 3-ї Лікарні
Героїв Небесної Сотні вулиця                                       	вулиця Героїв Небесної Сотні
вул. Небесної Сотні                                                	вулиця Небесної Сотні
Небесної сотні вулиця                                              	вулиця Небесної Сотні
Небесної Сотні вулиця                                              	вулиця Небесної Сотні
Остапа Вишні вулиця                                                	вулиця Остапа Вишні
Хіврі вулиця                                                       	вулиця Хіврі
Бориса Гмирі вулиця                                                	вулиця Бориса Гмирі
Полковника Гегечкорі вулиця                                        	вулиця Полковника Гегечкорі
Саші Путрі вулиця                                                  	вулиця Саші Путрі
Долорес Ібаррурі вулиця                                            	вулиця Долорес Ібаррурі
Державності вулиця                                                 	вулиця Державності
Революції Гідності вулиця                                          	вулиця Революції Гідності
Гідності вулиця                                                    	вулиця Гідності
Незалежності провулок                                              	провулок Незалежності
Незалежності майдан                                                	майдан Незалежності
Незалежності вулиця                                                	вулиця Незалежності
Соборності провулок                                                	провулок Соборності
Соборності вулиця                                                  	вулиця Соборності
Юності провулок                                                    	провулок Юності
Юності вулиця                                                      	вулиця Юності
Пальміро Тольятті вулиця                                           	вулиця Пальміро Тольятті
Алея Пам’яті                                                       	алея Памʼяті
Пам’яті алея                                                       	алея Памʼяті
Пам’яті вулиця                                                     	вулиця Памʼяті
Героїв Праці вулиця                                                	вулиця Героїв Праці
Жовтневої вулиці провулок                                          	провулок Жовтневої вулиці
Куйбишевої вулиці 1-й провулок                                     	1-й провулок Куйбишевої вулиці
1-й Садової вулици провулок                                        	1-й провулок Садової вулиці
1-й Світанкової вулиці провулок                                    	1-й провулок Світанкової вулиці
Степової вулиці 1-й провулок                                       	1-й провулок Степової вулиці
Степової вулиці 2-й провулок                                       	2-й провулок Степової вулиці
1-й Кононівської вулиці провулок                                   	1-й провулок Кононівської вулиці
2-й Кононівської вулиці провулок                                   	2-й провулок Кононівської вулиці
3-й Кононівської вулиці провулок                                   	3-й провулок Кононівської вулиці
4-й Кононівської вулиці провулок                                   	4-й провулок Кононівської вулиці
Тернівської вулиці тупик                                           	тупик Тернівської вулиці
4-й Тернівської вулиці провулок                                    	4-й провулок Тернівської вулиці
1-й Покровської вулиці провулок                                    	1-й провулок Покровської вулиці
2-й Покровської вулиці провулок                                    	2-й провулок Покровської вулиці
1-й Радянської вулиці провулок                                     	1-й провулок Радянської вулиці
Кремельницької вулиці 1-й тупик                                    	1-й тупик Кремельницької вулиці
Молодіжної вулиці провулок                                         	провулок Молодіжної вулиці
1-й Молодіжної вулиці провулок                                     	1-й провулок Молодіжної вулиці
1-й Тракторної вулиці провулок                                     	1-й провулок Тракторної вулиці
2-й Тракторної вулиці провулок                                     	2-й провулок Тракторної вулиці
Лісної вулиці провулок                                             	провулок Лісної вулиці
Залізничної вулиці провулок                                        	провулок Залізничної вулиці
2-й Залізничної вулиці провулок                                    	2-й провулок Залізничної вулиці
3-й Залізничної вулиці провулок                                    	3-й провулок Залізничної вулиці
Фабричної вулиці 2-й провулок                                      	2-й провулок Фабричної вулиці
Фабричної вулиці 3-й провулок                                      	3-й провулок Фабричної вулиці
Фабричної вулиці 4-й провулок                                      	4-й провулок Фабричної вулиці
Фабричної вулиці 5-й провулок                                      	5-й провулок Фабричної вулиці
Індустріальної вулиці тупик                                        	тупик Індустріальної вулиці
Індустріальної вулиці провулок                                     	провулок Індустріальної вулиці
1-й Центральної вулиці тупик                                       	1-й тупик Центральної вулиці
2-й Центральної вулиці тупик                                       	2-й тупик Центральної вулиці
Центральної вулиці провулок                                        	провулок Центральної вулиці
1-й Шкільної вулиці провулок                                       	1-й провулок Шкільної вулиці
2-й Олійниці провулок                                              	2-й провулок Олійниці
Олійниці вулиця                                                    	вулиця Олійниці
Юрія Печериці вулиця                                               	вулиця Юрія Печериці
2-і Плютенці вулиця                                                	вулиця 2-гі Плютенці
1-і Плютенці вулиця                                                	вулиця 1-ші Плютенці
Почапці вулиця                                                     	вулиця Почапці
Саранчі вулиця                                                     	вулиця Саранчі
Зінчаші вулиця                                                     	вулиця Зінчаші
Микиші вулиця                                                      	вулиця Микиші
Станіслава Душі вулиця                                             	вулиця Станіслава Душі
Надії вулиця                                                       	вулиця Надії
Національної Гвардії вулиця                                        	вулиця Національної Гвардії
93-ї Миргородської Дивізії вулиця                                  	вулиця 93-ї Миргородської Дивізії
72 Гвардійської дивізії вулиця                                     	вулиця 72-ї Гвардійської Дивізії
69-ї Гвардійської дивізії вулиця                                   	вулиця 69-ї Гвардійської Дивізії
97-ї Стрілецької Дивізії вулиця                                    	вулиця 97-ї Стрілецької Дивізії
Григорія Гамалії проїзд                                            	проїзд Григорія Гамалії
4-ї Гвардійської Армії вулиця                                      	вулиця 4-ї Гвардійської Армії
Української Армії вулиця                                           	вулиця Української Армії
Радянської Армії провулок                                          	провулок Радянської Армії
Радянської Армії вулиця                                            	вулиця Радянської Армії
Мрії вулиця                                                        	вулиця Мрії
Промкооперації вулиця                                              	вулиця Промкооперації
Радянської Міліції вулиця                                          	вулиця Радянської Міліції
Конституції провулок                                               	провулок Конституції
Конституції вулиця                                                 	вулиця Конституції
Борців Революції площа                                             	площа Борців Революції
Лютневої Революції вулиця;Liutnevoi Revoliutsii Street             	вулиця Лютневої Революції
Навої провулок                                                     	провулок Навої
Марії Башкирцевої вулиця                                           	вулиця Марії Башкирцевої
Марії Башкірцевої вулиця                                           	вулиця Марії Башкірцевої
1-й Північно-Кільцевої провулок                                    	1-й провулок Північно-Кільцевої
2-й Північно-Кільцевої провулок                                    	2-й провулок Північно-Кільцевої
3-й Північно-Кільцевої провулок                                    	3-й провулок Північно-Кільцевої
Садової тупик                                                      	тупик Садової
1-й Садової провулок                                               	1-й провулок Садової
2-й Садової провулок                                               	2-й провулок Садової
3-й Садової провулок                                               	3-й провулок Садової
Наталії Стребкової вулиця                                          	вулиця Наталії Стребкової
Марини Раскової провулок                                           	провулок Марини Раскової
Раскової вулиця                                                    	вулиця Раскової
Терешкової вулиця                                                  	вулиця Терешкової
Тамари Кислякової вулиця                                           	вулиця Тамари Кислякової
Уляни Громової вулиця                                              	вулиця Уляни Громової
Громової вулиця                                                    	вулиця Громової
1-й Нової провулок                                                 	1-й провулок Нової
2-й Нової провулок                                                 	2-й провулок Нової
Нежданової провулок                                                	провулок Нежданової
Віри Панової провулок                                              	провулок Віри Панової
Гомонової вулиця                                                   	вулиця Гомонової
Самсонової вулиця                                                  	вулиця Самсонової
Ніни Уварової вулиця                                               	вулиця Ніни Уварової
Софії Ковалевської вулиця                                          	вулиця Софії Ковалевської
Ванди Василевської вулиця                                          	вулиця Ванди Василевської
Ковалівської провулок                                              	провулок Ковалівської
1-й Комунарівської провулок                                        	1-й провулок Комунарівської
Київської провулок                                                 	провулок Київської
Яновської тупік                                                    	тупик Яновської
Яновської вулиця                                                   	вулиця Яновської
Софії Перовської вулиця                                            	вулиця Софії Перовської
Катерини Скаржинської вулиця                                       	вулиця Катерини Скаржинської
Скаржинської вулиця                                                	вулиця Скаржинської
Ольги Кобилянської провулок                                        	провулок Ольги Кобилянської
Кобилянської Ольги вулиця                                          	вулиця Ольги Кобилянської
Ольги Кобилянської вулиця                                          	вулиця Ольги Кобилянської
Кобилянської вулиця                                                	вулиця Кобилянської
провулок Зої Космодем'янської                                      	провулок Зої Космодемʼянської
Зої Космодем’янської провулок                                      	провулок Зої Космодемʼянської
вулиця Космодем’янської Зої                                        	вулиця Зої Космодемʼянської
Зої Космодем'янської вулиця                                        	вулиця Зої Космодемʼянської
Зої Космодем’янської вулиця                                        	вулиця Зої Космодемʼянської
Космодем'янської вулиця                                            	вулиця Космодемʼянської
Крупської;Krupskoy;Krupskoi                                        	Крупської
Крупської провулок                                                 	провулок Крупської
Крупської вулиця                                                   	вулиця Крупської
Монастирської тупик                                                	тупик Монастирської
Алли Горської провулок                                             	провулок Алли Горської
Бугорської вулиця                                                  	вулиця Бугорської
1-й Авіаторської тупик                                             	1-й тупик Авіаторської
Круглутської тупик                                                 	тупик Круглутської
Комсомольської провулок                                            	провулок Комсомольської
Марії Заньковецької провулок                                       	провулок Марії Заньковецької
Заньковецької провулок                                             	провулок Заньковецької
1-й Новоселецької провулок                                         	1-й провулок Новоселецької
2-й Новоселецької провулок                                         	2-й провулок Новоселецької
1-й Круглицької провулок                                           	1-й провулок Круглицької
2-й Круглицької провулок                                           	2-й провулок Круглицької
3-й Круглицької провулок                                           	3-й провулок Круглицької
4-й Круглицької провулок                                           	4-й провулок Круглицької
Круглицької вулиця                                                 	вулиця Круглицької
Соломії Крушельницької вулиця                                      	вулиця Соломії Крушельницької
Катерини Зарицької провулок                                        	провулок Катерини Зарицької
Ганни Старицької провулок                                          	провулок Ганни Старицької
1-й Кам’янопотіцької провулок                                      	1-й провулок Камʼянопотіцької
2-й Кам’янопотіцької провулок                                      	2-й провулок Камʼянопотіцької
Віри Холодної провулок                                             	провулок Віри Холодної
