Юрія Тимошенка („Тарапуньки”) вулиця                               	вулиця Юрія Тимошенка «Тарапуньки»
Фурманова вулиця                                                   	вулиця Фурманова
Черепанова вулиця                                                  	вулиця Черепанова
Віктора Баранова вулиця                                            	вулиця Віктора Баранова
Муранова провулок                                                  	провулок Муранова
вулиця стаханова                                                   	вулиця Стаханова
Плеханова провулок                                                 	провулок Плеханова
Плеханова вулиця                                                   	вулиця Плеханова
Коханова вулиця                                                    	вулиця Коханова
Баженова провулок                                                  	провулок Баженова
Баженова вулиця                                                    	вулиця Баженова
Івана Сєченова вулиця                                              	вулиця Івана Сєченова
Калинова провулок                                                  	провулок Калинова
Устинова вулиця                                                    	вулиця Устинова
Логінова вулиця                                                    	вулиця Логінова
Леонова провулок                                                   	провулок Леонова
Леонова вулиця                                                     	вулиця Леонова
Смирнова провулок;Smyrnova Lane                                    	провулок Смирнова
Ползунова вулиця                                                   	вулиця Ползунова
Тікунова провулок                                                  	провулок Тікунова
Тікунова вулиця                                                    	вулиця Тікунова
Юрія Таптунова провулок                                            	провулок Юрія Таптунова
Ульянова вулиця                                                    	вулиця Ульянова
Попова вулиця                                                      	вулиця Попова
Карпова вулиця                                                     	вулиця Карпова
Генерала Манагарова вулиця                                         	вулиця Генерала Манагарова
Михайла Комарова провулок                                          	провулок Михайла Комарова
Михайла Комарова вулиця                                            	вулиця Михайла Комарова
Комарова провулок                                                  	провулок Комарова
1-й Комарова провулок                                              	1-й провулок Комарова
Комарова вулиця                                                    	вулиця Комарова
Комарова вулиця;Komarova Street                                    	вулиця Комарова
Гончарова вулиця                                                   	вулиця Гончарова
Діброва провулок                                                   	провулок Діброва
Діброва вулиця                                                     	вулиця Діброва
Боброва вулиця                                                     	вулиця Боброва
Бугрова вулиця                                                     	вулиця Бугрова
Нестерова бульвар                                                  	бульвар Нестерова
Нестерова бульвар;Nesterova Boulevard                              	бульвар Нестерова
Сидора Кучерова провулок                                           	провулок Сидора Кучерова
Сєрова вулиця                                                      	вулиця Сєрова
Сєрова вулиця;ulica Sierowa                                        	вулиця Сєрова
Кірова проїзд                                                      	проїзд Кірова
Кірова провулок                                                    	провулок Кірова
Сергія Кірова вулиця                                               	вулиця Сергія Кірова
вулиця КІрова                                                      	вулиця Кірова
Кірова вулиця                                                      	вулиця Кірова
Кірова вулиця;Kirova Street                                        	вулиця Кірова
Маршала Говорова провулок                                          	провулок Маршала Говорова
Маршала Говорова вулиця                                            	вулиця Маршала Говорова
Суворова провулок                                                  	провулок Суворова
Суворова вулиця                                                    	вулиця Суворова
Федора Єгорова вулиця                                              	вулиця Федора Єгорова
Єгорова вулиця                                                     	вулиця Єгорова
Академіка Євгена Федорова вулиця                                   	вулиця Академіка Євгена Федорова
Лейтенанта Дніпрова набережна                                      	набережна Лейтенанта Дніпрова
Лейтенанта Дніпрова провулок                                       	провулок Лейтенанта Дніпрова
Димитрова площа                                                    	площа Димитрова
Димитрова провулок                                                 	провулок Димитрова
Георгія Димитрова вулиця                                           	вулиця Георгія Димитрова
Димітрова вулиця                                                   	вулиця Димітрова
Дімітрова провулок                                                 	провулок Дімітрова
Давида Кострова вулиця                                             	вулиця Давида Кострова
Самбурова провулок                                                 	провулок Самбурова
Склярова вулиця                                                    	вулиця Склярова
Некрасова тупик                                                    	тупик Некрасова
Некрасова провулок                                                 	провулок Некрасова
Некрасова вулиця                                                   	вулиця Некрасова
Нєкрасова провулок                                                 	провулок Нєкрасова
Нєкрасова вулиця                                                   	вулиця Нєкрасова
Віктора Носова провулок                                            	провулок Віктора Носова
Михайла Ломоносова вулиця                                          	вулиця Михайла Ломоносова
