I-й Благовіщенський провулок                                                                                                                      	1-й Благовіщенський провулок
2-й І. Франка провулок                                                                                                                            	2-й провулок І. Франка
2-й Івана Виговського провулок                                                                                                                    	2-й провулок Івана Виговського
2-й Карла Маркса провулок                                                                                                                         	2-й провулок Карла Маркса
2-й Кармелюка провулок                                                                                                                            	2-й провулок Кармелюка
2 Кірова провулок                                                                                                                                 	2-й провулок Кірова
2-й Комарова провулок                                                                                                                             	2-й провулок Комарова
2-й Короленка провулок                                                                                                                            	2-й провулок Короленка
2-й Коцюбинського провулок                                                                                                                        	2-й провулок Коцюбинського
2-й Кривий Брід провулок                                                                                                                          	2-й провулок Кривий Брід
2-й Кузьмінського провулок                                                                                                                        	2-й провулок Кузьмінського
2-й Леваневського провулок                                                                                                                        	2-й провулок Леваневського
2-й Леніна провулок                                                                                                                               	2-й провулок Леніна
2-й Лесі Українки провулок                                                                                                                        	2-й провулок Лесі Українки
2-й Лесі УКраїнки провулок                                                                                                                        	2-й провулок Лесі Українки
2-й Лисенка провулок                                                                                                                              	2-й провулок Лисенка
2-й Ломоносова провулок                                                                                                                           	2-й провулок Ломоносова
2-й Льва Толстого провулок                                                                                                                        	2-й провулок Льва Толстого
2-й Максютова провулок                                                                                                                            	2-й провулок Максютова
2-й Мануїльського провулок                                                                                                                        	2-й провулок Мануїльського
2-й Марії Примаченко провулок                                                                                                                     	2-й провулок Марії Примаченко
2-й Матросова провулок                                                                                                                            	2-й провулок Матросова
2-й Маяковського провулок                                                                                                                         	2-й провулок Маяковського
2-й Менделєєва провулок                                                                                                                           	2-й провулок Менделєєва
2-й Миколи Романенка провулок                                                                                                                     	2-й провулок Миколи Романенка
2-й Миру провулок                                                                                                                                 	2-й провулок Миру
2-й Михайла Грищенка провулок                                                                                                                     	2-й провулок Михайла Грищенка
2-й Михайла Грушевського провулок                                                                                                                 	2-й провулок Михайла Грушевського
2-й Міхала Чайковського провулок                                                                                                                  	2-й провулок Міхала Чайковського
2-й Мічуріна провулок                                                                                                                             	2-й провулок Мічуріна
2-й Н. Сосніної провулок                                                                                                                          	2-й провулок Н. Сосніної
2-й Незалежності провулок                                                                                                                         	2-й провулок Незалежності
2-й Незнайка провулок                                                                                                                             	2-й провулок Незнайка
2-й Некрасова провулок                                                                                                                            	2-й провулок Некрасова
2-й Олега Кошового провулок                                                                                                                       	2-й провулок Олега Кошового
2-й провулок Олексія Дем'янюка                                                                                                                    	2-й провулок Олексія Демʼянюка
2-й Осипенко провулок                                                                                                                             	2-й провулок Осипенко
2-й Остапа Вишні провулок                                                                                                                         	2-й провулок Остапа Вишні
2-й Островського провулок                                                                                                                         	2-й провулок Островського
2-й Петра Волиняка провулок                                                                                                                       	2-й провулок Петра Волиняка
2-й Петра Чайковського провулок;2-й Петра Чайковского Переулок;2nd Pyotr Tchaikovski Lane;2nd Petra Chaikovskoho Lane;2nd Petra Chaykovskogo Lane 	2-й провулок Петра Чайковського
2-й Піонтковського провулок                                                                                                                       	2-й провулок Піонтковського
провулок 2-й Праці                                                                                                                                	2-й провулок Праці
2-й Пушкіна провулок                                                                                                                              	2-й провулок Пушкіна
2-й Рози Люксембург провулок                                                                                                                      	2-й провулок Рози Люксембург
2-й Саєнка провулок                                                                                                                               	2-й провулок Саєнка
2-й Свердлова провулок                                                                                                                            	2-й провулок Свердлова
2-й Січових Стрільців провулок                                                                                                                    	2-й провулок Січових Стрільців
2-й Старий Шлях провулок                                                                                                                          	2-й провулок Старий Шлях
2-й Степанюка провулок                                                                                                                            	2-й провулок Степанюка
2-й Ступіна провулок                                                                                                                              	2-й провулок Ступіна
2-й Суворова провулок                                                                                                                             	2-й провулок Суворова
2-й Танкістів провулок                                                                                                                            	2-й провулок Танкістів
2-й Толстого провулок                                                                                                                             	2-й провулок Толстого
2-й Тургєнєва провулок                                                                                                                            	2-й провулок Тургєнєва
2-й Тухачевського провулок                                                                                                                        	2-й провулок Тухачевського
2-й Фабриціуса провулок                                                                                                                           	2-й провулок Фабриціуса
2-й Фурманова провулок                                                                                                                            	2-й провулок Фурманова
2-й Чапаєва провулок                                                                                                                              	2-й провулок Чапаєва
2-й Чехова провулок                                                                                                                               	2-й провулок Чехова
2-й Чкалова провулок                                                                                                                              	2-й провулок Чкалова
2-й Шевченка провулок                                                                                                                             	2-й провулок Шевченка
2-й Штепіна провулок                                                                                                                              	2-й провулок Штепіна
2-й Щорса провулок                                                                                                                                	2-й провулок Щорса
2-й Ярослава Мудрого провулок                                                                                                                     	2-й провулок Ярослава Мудрого
2-й Польового Майдану проїзд                                                                                                                      	2-й проїзд Польового Майдану
3-й Кар’єрний провулок                                                                                                                            	3-й Карʼєрний провулок
3-й Мар’янівський провулок                                                                                                                        	3-й Марʼянівський провулок
3-й Академіка Корольова провулок                                                                                                                  	3-й провулок Академіка Корольова
3-й Б. Хмельницького провулок                                                                                                                     	3-й провулок Б. Хмельницького
3-й Боженка провулок                                                                                                                              	3-й провулок Боженка
3-й Василя Стуса провулок                                                                                                                         	3-й провулок Василя Стуса
