вулиця Т. Шевченка	вулиця Т. Шевченка
вулиця Ю. Гагаріна	вулиця Ю. Гагаріна
вулиця Ю. Федьковича	вулиця Ю. Федьковича
вулиця Я. Яловеги	вулиця Я. Яловеги
Г. Бодні вулиця	вулиця Г. Бодні
Г. Бораковського вулиця	вулиця Г. Бораковського
Г. Гордасевич вулиця	вулиця Г. Гордасевич
Г. Красного провулок	провулок Г. Красного
Г. Охман вулиця	вулиця Г. Охман
Г. Повха вулиця	вулиця Г. Повха
Г. Повха провулок	провулок Г. Повха
Г. Романюка вулиця	вулиця Г. Романюка
Г. Сидорчук вулиця	вулиця Г. Сидорчук
Г. Тютюника вулиця	вулиця Г. Тютюника
Г. Херца вулиця	вулиця Г. Херца
Г. Шинкаря вулиця	вулиця Г. Шинкаря
Г.Барвінок вулиця	вулиця Г. Барвінок
Г.Жованик вулиця	вулиця Г. Жованик
Г.Жованик провулок	провулок Г. Жованик
Г.Лисенка вулиця	вулиця Г. Лисенка
Г.Морозової вулиця	вулиця Г. Морозової
Г.Пененка вулиця	вулиця Г. Пененка
Г.Перебийноса вулиця	вулиця Г. Перебийноса
Г.С. Савчука вулиця	вулиця Г. С. Савчука
Г.Шабалдіна вулиця	вулиця Г. Шабалдіна
Г.Яременка вулиця	вулиця Г. Яременка
Гаврилюка В. вулиця	вулиця В. Гаврилюка
Галіберди В. вулиця	вулиця В. Галіберди
Гарапина В. вулиця	вулиця В. Гарапина
Гачка П. вулиця	вулиця П. Гачка
Гвардії-генерала Гавенка Л.А. вулиця	вулиця Гвардії-генерала Л. А. Гавенка
Генерал-майора С. Кульчицького вулиця	вулиця Генерал-майора С. Кульчицького
Генерала М. Тарнавського провулок	провулок Генерала М. Тарнавського
Гетьманця Ф.Д. вулиця	вулиця Ф. Д. Гетьманця
Гжицького В. вулиця	вулиця В. Гжицького
Д. Вітовського вулиця	вулиця Д. Вітовського
Д. Галицького вулиця	вулиця Д. Галицького
Д. Каравацького вулиця	вулиця Д. Каравацького
Д. Каравацького провулок	провулок Д. Каравацького
Д. Коваленка вулиця	вулиця Д. Коваленка
Д. Куриленка вулиця	вулиця Д. Куриленка
Д. Нечая вулиця	вулиця Д. Нечая
Д. Синяка вулиця	вулиця Д. Синяка
Д. Туптала вулиця	вулиця Д. Туптала
Д. Харько вулиця	вулиця Д. Харько
Д. Чабана вулиця	вулиця Д. Чабана
Д.Бєдного вулиця	вулиця Д. Бєдного
Д.Бідного вулиця	вулиця Д. Бідного
Д.Клячківського вулиця	вулиця Д. Клячківського
Д.Лопатка вулиця	вулиця Д. Лопатка
Д.Скрипниченка вулиця	вулиця Д. Скрипниченка
Д.Шевенка вулиця	вулиця Д. Шевенка
Д.Шелупця вулиця	вулиця Д. Шелупця
Дивіної Г. вулиця	вулиця Г. Дивіної
Є. М. Редька вулиця	вулиця Є. М. Редька
З. Космодем’ янської вулиця	вулиця З. Космодемʼянської
З. Шумчук вулиця	вулиця З. Шумчук
З.Карпинської вулиця	вулиця З. Карпинської
З.Космодем’янської в’їзд	вʼїзд З. Космодемʼянської
З.Космодем’янської вулиця	вулиця З. Космодемʼянської
З.Космодем’янської провулок	провулок З. Космодемʼянської
З.Серебрякової вулиця	вулиця З. Серебрякової
Зубка П. вулиця	вулиця П. Зубка
И. М. Світличного вулиця	вулиця І. М. Світличного
І. А. Шевченка вулиця	вулиця І. А. Шевченка
І. В. Войтенка вулиця	вулиця І. В. Войтенка
І. М. Гулого вулиця	вулиця І. М. Гулого
І.Г. Школьника вулиця	вулиця І. Г. Школьника
І.Д. Мусієнка вулиця	вулиця І. Д. Мусієнка
І.М.Скоропадського проспект	проспект І. М. Скоропадського
І.Ф. Попова вулиця	вулиця І. Ф. Попова
І.Ф.Кузьмука вулиця	вулиця І. Ф. Кузьмука
Ілляша Г.Я. вулиця	вулиця Г. Я. Ілляша
Ім. А. Волошина	імені А. Волошина
Ім. В. І. Леніна площа	площа імені В. І. Леніна
Ім. К. Г. Алексєєва вулиця	вулиця імені К. Г. Алексєєва
Ім. П. Грекова вулиця	вулиця імені П. Грекова
ім. Т. Г. Шевченка вулиця	вулиця імені Т. Г. Шевченка
ім.В.Живодера вулиця	вулиця імені В. Живодера
ім.Крайтора С.П. вулиця	вулиця імені С. П. Крайтора
імені Г.М.Зубенка вулиця	вулиця імені Г. М. Зубенка
імені Героя України В. А. Сацького вулиця	вулиця імені Героя України В. А. Сацького
імені Героя України Сацького В. А. вулиця	вулиця імені Героя України В. А. Сацького
Й. Кліща вулиця	вулиця Й. Кліща
К. Галкіна вулиця	вулиця К. Галкіна
К. Галкіна провулок	провулок К. Галкіна
К. Заслонова вулиця	вулиця К. Заслонова
К. І. Богданова вулиця	вулиця К. І. Богданова
К. Каленика вулиця	вулиця К. Каленика
К. Маркса вулиця	вулиця К. Маркса
К. Медведенка вулиця	вулиця К. Медведенка
К. Наумчука вулиця	вулиця К. Наумчука
К. Терентюк вулиця	вулиця К. Терентюк
К. Цеткін вулиця	вулиця К. Цеткін
К. Шитіва вулиця	вулиця К. Шитіва
К.Гасієва провулок	провулок К. Гасієва
К.Маркса вулиця	вулиця К. Маркса
К.Маркса провулок	провулок К. Маркса
К.Основ’яненко провулок	провулок К. Основʼяненко
К.Розумовського вулиця	вулиця К. Розумовського
К.Розумовського провулок	провулок К. Розумовського
К.Цеткін вулиця	вулиця К. Цеткін
К.Шульженко в’їзд	вʼїзд К. Шульженко
Каптованця М. вулиця	вулиця М. Каптованця
Касараба В. вулиця	вулиця В. Касараба
Квака А.Ф. вулиця	вулиця А. Ф. Квака
Кірчева Б. вулиця	вулиця Б. Кірчева
Кісенка І.Г. вулиця	вулиця І. Г. Кісенка
Кобилянської О. вулиця	вулиця О. Кобилянської
Коваля С. вулиця	вулиця С. Коваля
Комісара Санюка В.І. вулиця	вулиця Комісара В. І. Санюка
Котика В. вулиця	вулиця В. Котика
Кошевого О. вулиця	вулиця О. Кошевого
Л. Бикова вулиця	вулиця Л. Бикова
Л. Вакуловської вулиця	вулиця Л. Вакуловської
Л. Войтюк вулиця	вулиця Л. Войтюк
Л. Голікова вулиця	вулиця Л. Голікова
Л. Голiкова вулиця	вулиця Л. Голiкова
Л. Горохівського провулок	провулок Л. Горохівського
Л. Каденюка вулиця	вулиця Л. Каденюка
Л. Каденюка провулок	провулок Л. Каденюка
Л. Кадинюка вулиця	вулиця Л. Кадинюка
Л. Кобилиці вулиця	вулиця Л. Кобилиці
Л. Котельник вулиця	вулиця Л. Котельник
Л. Ольховської вулиця	вулиця Л. Ольховської
Л. Рака вулиця	вулиця Л. Рака
Л. Симеренка вулиця	вулиця Л. Симеренка
Л. Скринчука вулиця	вулиця Л. Скринчука
Л. Татаренка провулок	провулок Л. Татаренка
Л. Толстого вулиця	вулиця Л. Толстого
Л. Убийвовк вулиця	вулиця Л. Убийвовк
Л. Чайкіної вулиця	вулиця Л. Чайкіної
Л. Швецової вулиця	вулиця Л. Швецової
Л.Панкова вулиця	вулиця Л. Панкова
Л.Панкова провулок	провулок Л. Панкова
Л.Ревуцького вулиця	вулиця Л. Ревуцького
Л.Толстого вулиця	вулиця Л. Толстого
Л.Українки провулок	провулок Л. Українки
Лактіонова П.Б. вулиця	вулиця П. Б. Лактіонова
Левенця Ю. вулиця	вулиця Ю. Левенця
Лікаря О. Богаєвського вулиця	вулиця Лікаря О. Богаєвського
Лузана В.М. вулиця	вулиця В. М. Лузана
М. Березовського вулиця	вулиця М. Березовського
М. Бурака провулок	провулок М. Бурака
М. В. Світайла	М. В. Світайла
М. Вакалюк-Дорошенко вулиця	вулиця М. Вакалюк-Дорошенко
М. Галичанського вулиця	вулиця М. Галичанського
М. Гастелло вулиця	вулиця М. Гастелло
М. Гоголя вулиця	вулиця М. Гоголя
М. Гоголя провулок	провулок М. Гоголя
М. Городка вулиця	вулиця М. Городка
М. Горького вулиця	вулиця М. Горького
М. Горького провулок	провулок М. Горького
М. Грушевського вулиця	вулиця М. Грушевського
М. Драгоманова вулиця	вулиця М. Драгоманова
М. Емінеску вулиця	вулиця М. Емінеску
М. Євтушенка провулок	провулок М. Євтушенка
М. Закович вулиця	вулиця М. Закович
М. Залізняка провулок	провулок М. Залізняка
М. Заньковецької вулиця	вулиця М. Заньковецької
М. Зарудного вулиця	вулиця М. Зарудного
М. Зарудного провулок	провулок М. Зарудного
М. Іщака вулиця	вулиця М. Іщака
М. Ковальчука вулиця	вулиця М. Ковальчука
М. Козака вулиця	вулиця М. Козака
М. Козачинського вулиця	вулиця М. Козачинського
М. Коцюбинського вулиця	вулиця М. Коцюбинського
М. Кривоноса вулиця	вулиця М. Кривоноса
М. Куліша вулиця	вулиця М. Куліша
М. Куценко вулиця	вулиця М. Куценко
М. Кучерявця вулиця	вулиця М. Кучерявця
М. Ларкової вулиця	вулиця М. Ларкової
М. Лєрмонтова вулиця	вулиця М. Лєрмонтова
М. Лисенка вулиця	вулиця М. Лисенка
М. Ломоносова вулиця	вулиця М. Ломоносова
М. Людкевича вулиця	вулиця М. Людкевича
М. Максимовича вулиця	вулиця М. Максимовича
М. Міхновького провулок	провулок М. Міхновького
М. Немолота вулиця	вулиця М. Немолота
М. Овчаренка вулиця	вулиця М. Овчаренка
М. Озерного вулиця	вулиця М. Озерного
М. Онищенка вулиця	вулиця М. Онищенка
М. Орла вулиця	вулиця М. Орла
М. Остапчука вулиця	вулиця М. Остапчука
М. Островського вулиця	вулиця М. Островського
М. Павел вулиця	вулиця М. Павел
М. Павлюка вулиця	вулиця М. Павлюка
М. Павника вулиця	вулиця М. Павника
М. Пирогова вулиця	вулиця М. Пирогова
М. Погорілого вулиця	вулиця М. Погорілого
М. Пошедіна вулиця	вулиця М. Пошедіна
М. Процевського вулиця	вулиця М. Процевського
М. Раскової вулиця	вулиця М. Раскової
М. Рильського вулиця	вулиця М. Рильського
М. Руденка вулиця	вулиця М. Руденка
М. Руденка провулок	провулок М. Руденка
М. Світайла вулиця	вулиця М. Світайла
М. Семенця провулок	провулок М. Семенця
М. Сліпця вулиця	вулиця М. Сліпця
М. Смотрицького вулиця	вулиця М. Смотрицького
М. Стахівської вулиця	вулиця М. Стахівської
М. Стельмаха вулиця	вулиця М. Стельмаха
М. Ткаченка вулиця	вулиця М. Ткаченка
М. Хапланова провулок	провулок М. Хапланова
М. Холода вулиця	вулиця М. Холода
М. Чухрай вулиця	вулиця М. Чухрай
М. Шарика вулиця	вулиця М. Шарика
М. Швецова вулиця	вулиця М. Швецова
М. Юр’єва вулиця	вулиця М. Юрʼєва
М.Биченка вулиця	вулиця М. Биченка
М.Братана вулиця	вулиця М. Братана
М.Вершила вулиця	вулиця М. Вершила
М.Вовчка вулиця	вулиця М. Вовчка
М.Вовчка провулок	провулок М. Вовчка
М.Г. Гоженка вулиця	вулиця М. Г. Гоженка
М.Галагана вулиця	вулиця М. Галагана
М.Горького вулиця	вулиця М. Горького
М.Гребенюка вулиця	вулиця М. Гребенюка
М.Грушевського вулиця	вулиця М. Грушевського
М.Демченка вулиця	вулиця М. Демченка
М.Драгоманова вулиця	вулиця М. Драгоманова
М.Заньковецької вулиця	вулиця М. Заньковецької
М.Козіна вулиця	вулиця М. Козіна
М.Костомарова вулиця	вулиця М. Костомарова
М.Коцюбинського вулиця	вулиця М. Коцюбинського
М.Кривоноса вулиця	вулиця М. Кривоноса
М.Кропивницького вулиця	вулиця М. Кропивницького
М.Лаврова вулиця	вулиця М. Лаврова
М.Лагунової вулиця	вулиця М. Лагунової
М.М. Коцюбинського вулиця	вулиця М. М. Коцюбинського
М.М. Миклухо-Маклая вулиця	вулиця М. М. Миклухо-Маклая
М.М.Ге вулиця	вулиця М. М. Ге
М.Матеюка вулиця	вулиця М. Матеюка
М.Пирогова провулок	провулок М. Пирогова
М.Пігорєва вулиця	вулиця М. Пігорєва
М.Рильського вулиця	вулиця М. Рильського
М.Старицького вулиця	вулиця М. Старицького
М.Стахівської вулиця	вулиця М. Стахівської
М.Томака вулиця	вулиця М. Томака
М.Харченка вулиця	вулиця М. Харченка
М.Чурай вулиця	вулиця М. Чурай
Миколайчука В. вулиця	вулиця В. Миколайчука
Моргуна М. І. вулиця	вулиця Моргуна М. І.
Музики М.А. вулиця	вулиця М. А. Музики
Н. Білявської вулиця	вулиця Н. Білявської
Н. Зборовської вулиця	вулиця Н. Зборовської
Н. Крицької вулиця	вулиця Н. Крицької
Н. Курченко в'їзд	вʼїзд Н. Курченко
Н. Курченко вулиця	вулиця Н. Курченко
Н. Курченко провулок	провулок Н. Курченко
Н. Левицького вулиця	вулиця Н. Левицького
Н. Морозенка вулиця	вулиця Н. Морозенка
Н. Откаленко вулиця	вулиця Н. Откаленко
Н. Поліщук провулок	провулок Н. Поліщук
Н. Присяжнюк вулиця	вулиця Н. Присяжнюк
Н. С. Говорун вулиця	вулиця Н. С. Говорун
Н. Сагайдак вулиця	вулиця Н. Сагайдак
Н. Сосніної вулиці	Н. Сосніної вулиця
Н. Сосніної вулиця	вулиця Н. Сосніної
Н. Тамарли	Н. Тамарли
Н. Яремчука вулиця	вулиця Н. Яремчука
Н.Д.Чекмак вулиця	вулиця Н. Д. Чекмак
Н.Ужвій вулиця	вулиця Н. Ужвій
Н.Яремчука вулиця	вулиця Н. Яремчука
Набережна В.І.Леніна вулиця	вулиця Набережна В. І. Леніна
О. Антонова вулиця	вулиця О. Антонова
О. Атаманчука вулиця	вулиця О. Атаманчука
О. Барабан вулиця	вулиця О. Барабан
О. Беляєва вулиця	вулиця О. Беляєва
О. Богуша вулиця	вулиця О. Богуша
О. Босого вулиця	вулиця О. Босого
О. Буракова вулиця	вулиця О. Буракова
О. Вишні вулиця	вулиця О. Вишні
О. Гаруса вулиця	вулиця О. Гаруса
О. Герцена вулиця	вулиця О. Герцена
О. Гончара вулиця	вулиця О. Гончара
О. Грибоєдова вулиця	вулиця О. Грибоєдова
О. Довбуша вулиця	вулиця О. Довбуша
О. Довженка вулиця	вулиця О. Довженка
О. Домахової вулиця	вулиця О. Домахової
