1-го Травня площа	площа 1 Травня
Сантьяго-де-Чилі площа	Сантьяго-де-Чилі площа
Свободи площа	Свободи площа
Святого Яна	Святого Яна
Святошинська площа	Святошинська площа
Севастопольська площа	Севастопольська площа
Северина Наливайка площа	Северина Наливайка площа
Семейка площа	Семейка площа
Сергія Набоки площа	Сергія Набоки площа
Сінна площа	Сінна площа
Січових Стрільців площа	Січових Стрільців площа
Сквер Перемоги	Сквер Перемоги
Сквер Прокатників	Сквер Прокатників
Сквер слави	Сквер слави
Слави площа	Слави площа
Смолянський майдан	Смолянський майдан
Соборна площа	Соборна площа
Соборний майдан	Соборний майдан
Соборно-Миколаївська площа	Соборно-Миколаївська площа
Соборності площа	Соборності площа
Спортивна площа	Спортивна площа
Стадіонна площа	Стадіонна площа
Станишівський майдан	Станишівський майдан
Станіслава Лема площа	Станіслава Лема площа
Старовокзальна площа	Старовокзальна площа
Степана Бандери майдан	Степана Бандери майдан
Стефана Яворського площа	Стефана Яворського площа
Т. Г. Шевченка площа	Т. Г. Шевченка площа
Т.Г.Шевченка площа	Т.Г.Шевченка площа
Таїрова площа	Таїрова площа
Танцевальная площадка	Танцевальная площадка
Танцмайданчик	Танцмайданчик
Тараса Григоровича Шевченка площа	Тараса Григоровича Шевченка площа
Тараса Шевченка площа	Тараса Шевченка площа
Театральна площа	Театральна площа
Театральний майдан	Театральний майдан
Ткаченко площа	Ткаченко площа
Товарна площа	Товарна площа
Толбухіна площа	Толбухіна площа
Томаша Есе площа	Томаша Есе площа
Торгова площа	Торгова площа
Транспорта площа	Транспорта площа
Троїцька площа	Троїцька площа
Уланська площа	Уланська площа
Успенська площа	Успенська площа
Ференца Ракоці площа	Ференца Ракоці площа
Ференца Ракоці Ⅱ площа	Ференца Ракоці Ⅱ площа
Фестивальна площа	Фестивальна площа
Холмська площа	Холмська площа
Холодноярський майдан	Холодноярський майдан
Центр	Центр
Центральна площа	Центральна площа
Центральна площа Крижополя	Центральна площа Крижополя
Центральна площа смт.Підволочиськ	Центральна площа смт.Підволочиськ
Центральная	Центральная
Центральний майдан	Центральний майдан
Червона площа	Червона площа
Червоний майдан	Червоний майдан
Чернігівська площа	Чернігівська площа
Чорнобаївська площа	Чорнобаївська площа
Шахтарська площа	Шахтарська площа
Шахтарської слави площа	Шахтарської слави площа
Шевченка майдан	Шевченка майдан
Шевченка площа	Шевченка площа
Шептицького майдан	Шептицького майдан
Шишманівська площа	Шишманівська площа
Шуберта площа	Шуберта площа
Щекавицька площа	Щекавицька площа
Яловиковська площа	Яловиковська площа
Ярмаркова площа	Ярмаркова площа
