
2-й Пестеля провулок	2-й провулок Пестеля
2-й Петровського в’їзд	2-й вʼїзд Петровського
2-й Петровського провулок	2-й провулок Петровського
2-й Пирогова провулок	2-й провулок Пирогова
2-й Піонтковського провулок	2-й провулок Піонтковського
2-й Постишева провулок	2-й провулок Постишева
2-й Постишева проїзд	2-й проїзд Постишева
2-й Пушкіна провулок	2-й провулок Пушкіна
2-й Радищева провулок	2-й провулок Радищева
2-й Рєпіна провулок	2-й провулок Рєпіна
2-й Рилєєва провулок	2-й провулок Рилєєва
2-й Римського-Корсакова провулок	2-й провулок Римського-Корсакова
2-й Сагайдачного провулок	2-й провулок Сагайдачного
2-й Саєнка провулок	2-й провулок Саєнка
2-й Свердлова провулок	2-й провулок Свердлова
2-й Серафимовича провулок	2-й провулок Серафимовича
2-й Сковороди провулок	2-й провулок Сковороди
2-й Станіславського провулок	2-й провулок Станіславського
2-й Степанюка провулок	2-й провулок Степанюка
2-й Стеценка провулок	2-й провулок Стеценка
2-й Суворова провулок	2-й провулок Суворова
2-й Тельмана провулок	2-й провулок Тельмана
2-й Тімірязєва провулок	2-й провулок Тімірязєва
2-й Толстого провулок	2-й провулок Толстого
2-й Тропініна провулок	2-й провулок Тропініна
2-й Тухачевського провулок	2-й провулок Тухачевського
2-й Ульянова провулок	2-й провулок Ульянова
2-й Ушакова провулок	2-й провулок Ушакова
2-й Ушинського провулок	2-й провулок Ушинського
2-й Федьковича провулок	2-й провулок Федьковича
2-й Франка провулок	2-й провулок Франка
2-й Франка тупик	2-й тупик Франка
2-й Фурманова провулок	2-й провулок Фурманова
2-й Цюрупи провулок	2-й провулок Цюрупи
2-й Чайковського провулок	2-й провулок Чайковського
2-й Чапаєва провулок	2-й провулок Чапаєва
2-й Черняховського провулок	2-й провулок Черняховського
2-й Черняховського проїзд	2-й проїзд Черняховського
2-й Чехова провулок	2-й провулок Чехова
2-й Чехова проїзд	2-й проїзд Чехова
2-й Чкалова провулок	2-й провулок Чкалова
2-й Чкалова тупик	2-й тупик Чкалова
2-й Шаумяна проїзд	2-й проїзд Шаумяна
